item_id,fable,correct_idx,correct_answer,prompt_level,thinking_level,model,run,response,thinking_content,extracted_answer,correct,confidence,confidence_category,response_length,reasoning_markers,uncertainty_markers,input_tokens,output_tokens,timestamp,benchmark
morables_414,"A certain man took a deposit from a friend but intended to keep it for himself. When the depositor then summoned him to swear an oath regarding the deposit, he realized the danger he was in and prepar",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,406,17,2026-02-04T04:05:16.658380,gemini_morables
morables_66,"A Lark had made her nest in the early spring on the young green wheat. The brood had almost grown to their full strength and attained the use of their wings and the full plumage of their feathers, whe",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,374,17,2026-02-04T04:05:20.361507,gemini_morables
morables_129,"When a certain man of Athens saw Aesop playing with marbles amidst a crowd of boys, he stood there and laughed at Aesop as if Aesop were crazy. As soon as he realized what was going on, Aesop -- who w",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,309,17,2026-02-04T04:05:23.788379,gemini_morables
morables_377,"The story goes that a sow who had delivered a whole litter of piglets loudly accosted a lioness, 'How many children do you breed?' asked the sow. 'I breed only one,' said the lioness, 'but he is very ",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,190,17,2026-02-04T04:05:26.310058,gemini_morables
morables_179,"Running swiftly, balancing on the razor's edge, bald but with a lock of hair on his forehead, he wears no clothes; if you grasp him from the front, you might be able to hold him, but once he has moved",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,219,17,2026-02-04T04:05:35.783074,gemini_morables
morables_597,"A fox was standing not far from a trap, pondering every possible approach. A nearby wolf noticed the fox and approached her. He then asked the fox if he might be allowed to take the meat, and the fox ",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,274,17,2026-02-04T04:05:43.783392,gemini_morables
morables_199,"There was a bull who was pastured on a little island. Two dung beetles lived there too, feeding on the bull's manure. Winter was approaching, so one of the dung beetles said to the other, 'I want to g",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,336,17,2026-02-04T04:05:46.722149,gemini_morables
morables_393,"There were two frogs whose pond had dried up, so they went looking for a new place to live. When they came to a well, one of them thought that they should jump in immediately, but the other one said, ",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,205,17,2026-02-04T04:05:50.348066,gemini_morables
morables_368,"Thanks to his excellent qualities, Hercules was received into heaven. He saluted the gods who came to congratulate him one after another, but when he was approached by Plutus, the god of wealth and th",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,233,17,2026-02-04T04:12:35.655014,gemini_morables
morables_301,"A dog made false accusations against the sheep, demanding that she pay him back a loaf of bread which, he insisted, the sheep had supposedly borrowed from him. The dog summoned the wolf as his witness",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,266,17,2026-02-04T04:12:47.187544,gemini_morables
morables_428,"A Lark, caught in a snare, pleaded earnestly with the Fowler for her life. 'What have I done that I must die?' said she; 'I have stolen neither gold nor silver, but only a grain of corn to satisfy my ",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,226,17,2026-02-04T04:12:57.710864,gemini_morables
morables_82,"Be quiet now, said an old Nurse to a child sitting on her lap. If you make that noise again I will throw you to the Wolf. Now it chanced that a Wolf was passing close under the window as this was said",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,305,17,2026-02-04T04:13:11.596203,gemini_morables
morables_186,"A bald man was bitten on the head by a fly and when he tried to swat the fly he gave himself a serious slap on the head. Then the fly laughed at the man and said, 'You wanted to avenge the sting of a ",0,A,0,minimal,gemini-3-flash,0,"<answer>A</answer>
<confidence>100</confidence>",,A,True,100.0,very_high,2,0,0,282,17,2026-02-04T04:13:12.735147,gemini_morables
